Feature,Importance
day_of_month,0.10215976533438281
month,0.0982374762196307
pres,0.07614466174480297
tmax,0.07059591721231487
wspd,0.07037117562273826
tmin,0.07028339604442203
day_of_week,0.06888721582615547
tavg,0.06635845470101813
wdir,0.06308742523726511
wpgt,0.056545641228575604
Longitude,0.04730597943812428
landuse_residential_pct_250m,0.047173346755386855
distance_to_center_m,0.042294432245201886
shops_250m,0.04098615034930827
cycleway_dedicated_length_250m,0.04067043521614748
cycleway_lane_length_500m,0.0388985268245253
